r12 	 r13 	 zeta_l(r12,r23) 
2.5	2.5	18.202217735616202
2.5	7.5	3.933014049347337
2.5	12.5	1.6417178813002191
2.5	17.5	0.8512786740508395
2.5	22.5	0.492630330459956
2.5	27.5	0.30504556521983794
2.5	32.5	0.19780888453616055
2.5	37.5	0.13259987256262995
2.5	42.5	0.09107657103778513
2.5	47.5	0.06369020205599168
2.5	52.5	0.04510726713996878
2.5	57.5	0.03219654801988598
2.5	62.5	0.023028372081122187
2.5	67.5	0.01634699039819738
2.5	72.5	0.011325055219646342
2.5	77.5	0.00749107165405624
2.5	82.5	0.004953997393796935
2.5	87.5	0.0048137737183489735
2.5	92.5	0.007920042198962267
2.5	97.5	0.011357979921428058
2.5	102.5	0.011085108271583922
2.5	107.5	0.007642853381948954
2.5	112.5	0.003770783744640244
2.5	117.5	0.0008984366216932937
2.5	122.5	-0.0008549316575613533
2.5	127.5	-0.0017968102872444607
2.5	132.5	-0.002239704145583118
2.5	137.5	-0.0023952655182596554
2.5	142.5	-0.0023945829457151105
2.5	147.5	-0.002312291266859931
2.5	152.5	-0.0021899138752565074
2.5	157.5	-0.0020504022553957365
7.5	7.5	0.967708591561052
7.5	12.5	0.37830221898605576
7.5	17.5	0.1926807132296997
7.5	22.5	0.11160159825054305
7.5	27.5	0.06943376381233539
7.5	32.5	0.045252937100477744
7.5	37.5	0.03046957285904616
7.5	42.5	0.021006162149908126
7.5	47.5	0.01473559380645938
7.5	52.5	0.010463260294271562
7.5	57.5	0.007483541218759221
7.5	62.5	0.0053585894572355025
7.5	67.5	0.003804338844962703
7.5	72.5	0.0026417925911626406
7.5	77.5	0.0017896935661211111
7.5	82.5	0.0013081301234454611
7.5	87.5	0.0013575160825710193
7.5	92.5	0.001914946793568593
7.5	97.5	0.0024387713005672865
7.5	102.5	0.0023396030669069197
7.5	107.5	0.0016837466116866545
7.5	112.5	0.0008921012081020621
7.5	117.5	0.00025624995164266366
7.5	122.5	-0.00015520496269648374
7.5	127.5	-0.0003857206613289921
7.5	132.5	-0.0004984508301450873
7.5	137.5	-0.000541486820883478
7.5	142.5	-0.0005457536387841634
7.5	147.5	-0.0005294404021226098
7.5	152.5	-0.0005028752307506886
7.5	157.5	-0.00047172278336981075
12.5	12.5	0.15731606606019646
12.5	17.5	0.07753359310052857
12.5	22.5	0.04452841050481068
12.5	27.5	0.027866748420534746
12.5	32.5	0.018315799714552185
12.5	37.5	0.012430554256989638
12.5	42.5	0.008627709364525468
12.5	47.5	0.0060862676873342505
12.5	52.5	0.004341590676702987
12.5	57.5	0.0031155581805226654
12.5	62.5	0.002235362258677488
12.5	67.5	0.001591088681449564
12.5	72.5	0.0011244109367664849
12.5	77.5	0.0008213718343327316
12.5	82.5	0.0006753785980915054
12.5	87.5	0.0006704827897174369
12.5	92.5	0.0008045799063178355
12.5	97.5	0.0009183039557554743
12.5	102.5	0.0008316975181466149
12.5	107.5	0.0006077936865791813
12.5	112.5	0.0003585946191121107
12.5	117.5	0.0001370863620813242
12.5	122.5	-2.7481994966330483e-05
12.5	127.5	-0.00013058574296338494
12.5	132.5	-0.0001860703278336886
12.5	137.5	-0.00021044713155753654
12.5	142.5	-0.00021654951389340327
12.5	147.5	-0.00021256208391740933
12.5	152.5	-0.00020331610022097167
12.5	157.5	-0.00019156329292421498
17.5	17.5	0.03709519725728589
17.5	22.5	0.021230890668921087
17.5	27.5	0.01337511480455737
17.5	32.5	0.008924443065377928
17.5	37.5	0.006146638860773784
17.5	42.5	0.004319698517969233
17.5	47.5	0.0030781941098298516
17.5	52.5	0.0022131501556742358
17.5	57.5	0.0015974183421037199
17.5	62.5	0.001152738506725233
17.5	67.5	0.000834388409167974
17.5	72.5	0.0006253432292777516
17.5	77.5	0.0004986525543541415
17.5	82.5	0.0004070006073879959
17.5	87.5	0.00036356724766915534
17.5	92.5	0.00040630807714864015
17.5	97.5	0.00044201497591171647
17.5	102.5	0.00037281327242431666
17.5	107.5	0.00025090845583162455
17.5	112.5	0.00015040843258046712
17.5	117.5	7.448823788581597e-05
17.5	122.5	8.797479666468833e-06
17.5	127.5	-4.306227869426568e-05
