ombh2=0.022 (fiducial)
# Corfunc6		 #r_Array
3.375824401788258267e-01 1.000000000000000000e+01
2.982369150071662034e-01 1.076305220883534197e+01
2.647656547769978164e-01 1.152610441767068217e+01
2.357824260196258459e-01 1.228915662650602414e+01
2.107106012032808895e-01 1.305220883534136611e+01
1.892501816138319470e-01 1.381526104417670808e+01
1.708999185537732612e-01 1.457831325301204828e+01
1.549290885426962971e-01 1.534136546184739025e+01
1.406975684216955347e-01 1.610441767068273222e+01
1.279144554255538524e-01 1.686746987951807242e+01
1.165689477049965117e-01 1.763052208835341617e+01
1.066447116908660619e-01 1.839357429718875636e+01
9.793039707364176172e-02 1.915662650602409656e+01
9.009435069726426382e-02 1.991967871485943675e+01
8.289986033182589198e-02 2.068273092369478050e+01
7.631421403005136939e-02 2.144578313253012070e+01
7.041034688937528041e-02 2.220883534136546444e+01
6.518780755449921083e-02 2.297188755020080464e+01
6.050669548704124684e-02 2.373493975903614484e+01
5.618631946621677198e-02 2.449799196787148503e+01
5.214310880696439859e-02 2.526104417670682878e+01
4.841722546987181630e-02 2.602409638554216897e+01
4.507204191317062958e-02 2.678714859437751272e+01
4.208600019525760710e-02 2.755020080321285292e+01
3.935124890174716145e-02 2.831325301204819311e+01
3.676785485928473624e-02 2.907630522088353686e+01
3.432372806701114443e-02 2.983935742971887706e+01
3.207573046933160504e-02 3.060240963855421725e+01
3.006194670911184821e-02 3.136546184738956100e+01
2.824474676245999558e-02 3.212851405622490120e+01
2.654214250425534008e-02 3.289156626506024139e+01
2.490537802186430436e-02 3.365461847389558159e+01
2.335525762737637734e-02 3.441767068273092889e+01
2.194180445855029721e-02 3.518072289156626198e+01
2.067714174070662755e-02 3.594377510040160928e+01
1.951592960036687210e-02 3.670682730923694947e+01
1.840035129673976699e-02 3.746987951807228967e+01
1.731579780563755749e-02 3.823293172690763697e+01
1.629626332237650577e-02 3.899598393574297006e+01
1.537747548181777821e-02 3.975903614457831736e+01
1.455237327110716836e-02 4.052208835341365756e+01
1.377679260778206204e-02 4.128514056224899775e+01
1.301539742944832038e-02 4.204819277108433795e+01
1.227507282586500978e-02 4.281124497991967814e+01
1.159040334702421057e-02 4.357429718875502545e+01
1.098039424430152788e-02 4.433734939759036564e+01
1.042535927353061692e-02 4.510040160642570584e+01
9.887785795188118107e-03 4.586345381526104603e+01
9.351488400268051157e-03 4.662650602409638623e+01
8.835225375896212097e-03 4.738955823293172642e+01
8.367596610653603786e-03 4.815261044176707372e+01
7.952988148091800352e-03 4.891566265060241392e+01
7.566302174156752831e-03 4.967871485943775411e+01
7.180349798114076497e-03 5.044176706827309431e+01
6.794010120878308731e-03 5.120481927710843451e+01
6.430316253431607454e-03 5.196787148594377470e+01
6.108307297630373792e-03 5.273092369477912200e+01
5.820971321994041978e-03 5.349397590361446220e+01
5.543054707281377946e-03 5.425702811244980239e+01
5.258509897944475472e-03 5.502008032128514259e+01
4.976421931896958875e-03 5.578313253012048278e+01
4.718591444802050505e-03 5.654618473895582298e+01
4.493934401251218659e-03 5.730923694779117028e+01
4.288471360701083014e-03 5.807228915662651048e+01
4.081062089738608789e-03 5.883534136546185067e+01
3.866250178120532975e-03 5.959839357429719087e+01
3.658764983749027665e-03 6.036144578313253106e+01
3.475572071839671054e-03 6.112449799196787836e+01
3.316524314943059860e-03 6.188755020080321856e+01
3.164638209386716299e-03 6.265060240963855875e+01
3.005045909180389420e-03 6.341365461847389895e+01
2.840664549634126096e-03 6.417670682730923204e+01
2.687584117260079057e-03 6.493975903614457934e+01
2.556198762391903058e-03 6.570281124497992664e+01
2.439536381266692658e-03 6.646586345381527394e+01
2.321309670419061544e-03 6.722891566265060703e+01
2.193921017296900609e-03 6.799196787148594012e+01
2.066105139795257339e-03 6.875502008032128742e+01
1.952245667222966136e-03 6.951807228915663472e+01
1.855944327979208459e-03 7.028112449799198203e+01
1.766217794628059581e-03 7.104417670682731512e+01
1.669976610667925831e-03 7.180722891566264821e+01
1.566306920783777298e-03 7.257028112449799551e+01
1.466729791980298783e-03 7.333333333333334281e+01
1.381731504958891949e-03 7.409638554216867590e+01
1.309040599043560229e-03 7.485943775100402320e+01
1.236533058296561752e-03 7.562248995983935629e+01
1.155977292520135157e-03 7.638554216867470359e+01
1.071993523464925737e-03 7.714859437751005089e+01
9.965079223421022085e-04 7.791164658634538398e+01
9.354148641863889793e-04 7.867469879518073128e+01
8.825074461396413290e-04 7.943775100401606437e+01
8.271192797166688473e-04 8.020080321285141167e+01
7.664936184539276453e-04 8.096385542168674476e+01
7.090582832915664612e-04 8.172690763052209206e+01
6.652345804369066626e-04 8.248995983935743936e+01
6.365745107200634564e-04 8.325301204819277245e+01
6.151758954188048896e-04 8.401606425702811975e+01
5.937272662592536342e-04 8.477911646586345285e+01
5.746021111955627522e-04 8.554216867469880015e+01
5.679060186752240939e-04 8.630522088353414745e+01
5.809734436766187012e-04 8.706827309236948054e+01
6.111613732459877588e-04 8.783132530120482784e+01
6.497267076279117717e-04 8.859437751004016093e+01
6.920014735092832464e-04 8.935742971887550823e+01
7.422722221448655290e-04 9.012048192771085553e+01
8.080623172460156068e-04 9.088353413654618862e+01
8.904740236272916777e-04 9.164658634538153592e+01
9.814475610967730856e-04 9.240963855421686901e+01
1.070778791557033772e-03 9.317269076305221631e+01
1.154866336665285112e-03 9.393574297188754940e+01
1.237537239713033853e-03 9.469879518072289670e+01
1.322428652274049285e-03 9.546184738955824400e+01
1.405807527369862427e-03 9.622489959839357709e+01
1.477992760752785441e-03 9.698795180722892439e+01
1.531572396000894110e-03 9.775100401606425748e+01
1.567353556715847312e-03 9.851405622489960479e+01
1.591444630374125530e-03 9.927710843373495209e+01
1.607140945149736211e-03 1.000401606425702852e+02
1.610770798633883068e-03 1.008032128514056325e+02
1.595989237214247725e-03 1.015662650602409656e+02
1.561434209652341927e-03 1.023293172690763129e+02
1.513059915132966993e-03 1.030923694779116460e+02
1.458613779797871988e-03 1.038554216867469933e+02
1.400536424971089537e-03 1.046184738955823406e+02
1.335130618552661692e-03 1.053815261044176737e+02
1.258652315782938288e-03 1.061445783132530210e+02
1.173270312193980648e-03 1.069076305220883540e+02
