qmin=3.565e-06,qmax=10.0
k 	 pk  
3.565e-06	17.507999999997775
3.6163e-06	17.749999999997684
3.6683e-06	17.99499999999758
3.7211e-06	18.243999999997477
3.7747e-06	18.495999999997363
3.829e-06	18.750999999997248
3.8841e-06	19.009999999997135
3.9399e-06	19.272999999997012
3.9966e-06	19.53899999999688
4.0541e-06	19.80799999999675
4.1125e-06	20.081999999996604
4.1716e-06	20.35899999999646
4.2317e-06	20.63999999999631
4.2925e-06	20.92499999999615
4.3543e-06	21.213999999995977
4.417e-06	21.506999999995806
4.4805e-06	21.803999999995618
4.545e-06	22.104999999995428
4.6104e-06	22.410999999995234
4.6767e-06	22.71999999999503
4.744e-06	23.033999999994816
4.8123e-06	23.351999999994593
4.8815e-06	23.673999999994358
4.9517e-06	24.000999999994118
5.023e-06	24.33299999999386
5.0952e-06	24.668999999993602
5.1686e-06	25.00899999999332
5.2429e-06	25.35499999999303
5.3184e-06	25.704999999992722
5.3949e-06	26.059999999992417
5.4725e-06	26.419999999992097
5.5512e-06	26.784999999991747
5.6311e-06	27.153999999991388
5.7121e-06	27.52899999999102
5.7943e-06	27.909999999990628
5.8777e-06	28.294999999990225
5.9623e-06	28.685999999989804
6.0481e-06	29.08199999998936
6.1351e-06	29.482999999988905
6.2234e-06	29.889999999988422
6.3129e-06	30.30299999998792
6.4037e-06	30.721999999987403
6.4959e-06	31.14599999998686
6.5893e-06	31.57599999998629
6.6841e-06	32.0119999999857
6.7803e-06	32.45399999998508
6.8779e-06	32.901999999984426
6.9768e-06	33.35699999998376
7.0772e-06	33.81699999998306
7.179e-06	34.28399999998232
7.2823e-06	34.75799999998157
7.3871e-06	35.23699999998077
7.4934e-06	35.72399999997994
7.6012e-06	36.216999999979066
7.7106e-06	36.71699999997817
7.8215e-06	37.223999999977224
7.9341e-06	37.738999999976244
8.0482e-06	38.25999999997521
8.164e-06	38.787999999974154
8.2815e-06	39.32399999997303
8.4006e-06	39.86699999997187
8.5215e-06	40.41699999997065
8.6441e-06	40.974999999969384
8.7685e-06	41.54099999996806
8.8947e-06	42.114999999966685
9.0226e-06	42.69599999996524
9.1525e-06	43.28599999996374
9.2841e-06	43.88299999996217
9.4177e-06	44.488999999960534
9.5532e-06	45.10399999995884
9.6907e-06	45.72699999995705
9.8301e-06	46.3579999999552
9.9716e-06	46.997999999953265
1.0115e-05	47.646999999951255
1.0261e-05	48.304999999949146
1.0408e-05	48.97199999994696
1.0558e-05	49.647999999944666
1.071e-05	50.333999999942264
1.0864e-05	51.02899999993977
1.102e-05	51.733999999937176
1.1179e-05	52.44799999993446
1.134e-05	53.17199999993162
1.1503e-05	53.90699999992867
1.1668e-05	54.650999999925595
1.1836e-05	55.405999999922386
1.2007e-05	56.17099999991902
1.2179e-05	56.94599999991554
1.2355e-05	57.73299999991187
1.2532e-05	58.52999999990808
1.2713e-05	59.33799999990409
1.2896e-05	60.15699999989995
1.3081e-05	60.98799999989564
1.3269e-05	61.82999999989113
1.346e-05	62.68399999988643
1.3654e-05	63.549999999881514
1.385e-05	64.42699999987643
1.405e-05	65.31699999987106
1.4252e-05	66.21899999986549
