ombh2=0.022 (Fiducial)
# pk6			 # kh6
3.968528830506432996e+02 1.000000000000000048e-04
3.991416611275082005e+02 1.005979985524459836e-04
4.014436256204426172e+02 1.011995731275792677e-04
4.037588521723159261e+02 1.018047451099636952e-04
4.060874168565694049e+02 1.024135360120425958e-04
4.084293961811977738e+02 1.030259674749033560e-04
4.107848671483949374e+02 1.036420612690467697e-04
4.131539072751775166e+02 1.042618392951608465e-04
4.155365945270258976e+02 1.048853235848994585e-04
4.179330073155619516e+02 1.055125363016654462e-04
4.203432245010895940e+02 1.061434997413984537e-04
4.227673253951339234e+02 1.067782363333675215e-04
4.252053897630312349e+02 1.074167686409684087e-04
4.276574978264935680e+02 1.080591193625256584e-04
4.301237302662029265e+02 1.087053113320994477e-04
4.326041682244406843e+02 1.093553675202972890e-04
4.350988933077012462e+02 1.100093110350906648e-04
4.376079875893210556e+02 1.106671651226363108e-04
4.401315336121609789e+02 1.113289531681026760e-04
4.426696143912524235e+02 1.119946986965012078e-04
4.452223134164963199e+02 1.126644253735225291e-04
4.477897146553652874e+02 1.133381570063777795e-04
4.503719025493920185e+02 1.140159175446448620e-04
4.529689619743601838e+02 1.146977310811198535e-04
4.555809782675798942e+02 1.153836218526733482e-04
4.582080372529533747e+02 1.160736142411120732e-04
4.608502252438231608e+02 1.167677327740456676e-04
4.635076290457652703e+02 1.174660021257584619e-04
4.661803359593602636e+02 1.181684471180866525e-04
4.688684337829880633e+02 1.188750927213007329e-04
4.715720108156561992e+02 1.195859640549929142e-04
4.742911558598081001e+02 1.203010863889703578e-04
4.770259582241897647e+02 1.210204851441532069e-04
4.797765077266938647e+02 1.217441858934783367e-04
4.825428946972440940e+02 1.224722143628084986e-04
4.853252099806966271e+02 1.232045964318466413e-04
4.881235449397302091e+02 1.239413581350559787e-04
4.909379914577896216e+02 1.246825256625855186e-04
4.937686419418167247e+02 1.254281253612008775e-04
4.966155892525550826e+02 1.261781837352209774e-04
4.994789265963573826e+02 1.269327274474602442e-04
5.023587476782495287e+02 1.276917833201762819e-04
5.052551467322445546e+02 1.284553783360234012e-04
5.081682185242703440e+02 1.292235396390118405e-04
5.110980583551177574e+02 1.299962945354725700e-04
5.140447620634041641e+02 1.307736704950281407e-04
5.170084260285441360e+02 1.315556951515688730e-04
5.199891471737522579e+02 1.323423963042354959e-04
5.229870229690312726e+02 1.331338019184071539e-04
5.260021514342296314e+02 1.339299401266955656e-04
5.290346311420610164e+02 1.347308392299449568e-04
5.320845612211682010e+02 1.355365276982383621e-04
5.351520413591937313e+02 1.363470341719094029e-04
5.382371718058773240e+02 1.371623874625604346e-04
5.413400533761650877e+02 1.379826165540869003e-04
5.444607874637158602e+02 1.388077506037074316e-04
5.475994762351009513e+02 1.396378189430004275e-04
5.507562226190975707e+02 1.404728510789467308e-04
5.539311301380462282e+02 1.413128766949784320e-04
5.571243029047282107e+02 1.421579256520341770e-04
5.603358456257159332e+02 1.430080279896205737e-04
5.635658636047329537e+02 1.438632139268800774e-04
5.668144627460343372e+02 1.447235138636650828e-04
5.700817495578157832e+02 1.455889583816187647e-04
5.733678311556240033e+02 1.464595782452620450e-04
5.766728152658116642e+02 1.473354044030872009e-04
5.799968102289720946e+02 1.482164679886581124e-04
5.833399250034404986e+02 1.491028003217168268e-04
5.867022691687833458e+02 1.499944329092971424e-04
5.900839529293226633e+02 1.508913974468443185e-04
5.934850871176479359e+02 1.517937258193419409e-04
5.969057831982137259e+02 1.527014501024454550e-04
6.003461531772286435e+02 1.536146025636220963e-04
6.038063092139685750e+02 1.545332156632982202e-04
6.072863639411862096e+02 1.554573220560129471e-04
6.107864306207164873e+02 1.563869545915792076e-04
6.143066231469424565e+02 1.573221463162512114e-04
6.178470560502477156e+02 1.582629304738993427e-04
6.214078445004374771e+02 1.592093405071918599e-04
6.249891043102207959e+02 1.601614100587836953e-04
6.285909519387043929e+02 1.611191729725122766e-04
6.322135044948631730e+02 1.620826632946008555e-04
