Redshift	Hubble0	OmegaM	OmegaB	SpectralIndex	Sigma8
0	67.74	0.3089	0.0486	0.9667	0.8159
Wavenumber(k)	Pk
5e-05	221.18856280381334
5.016147337565598e-05	221.87897457962822
5.032346822433287e-05	222.571540841135
5.048598623011086e-05	223.26626830625239
5.0649029082508804e-05	223.96316371382267
5.0812598476501817e-05	224.6622338236705
5.097669611253887e-05	225.36348541666558
5.114132369656047e-05	226.06692529466363
5.1306482940016455e-05	226.7725602805628
5.147217555988365e-05	227.48039721849875
5.163840327868389e-05	228.19044297391588
5.180516782450177e-05	228.90270443363409
5.197247093100269e-05	229.61718850591038
5.2140314337450924e-05	230.33390212051583
5.2308699788727556e-05	231.0528522287942
5.247762903534877e-05	231.77404580373107
5.264710383348398e-05	232.49748984002215
5.281712594497405e-05	233.22319135413767
5.298769713734968e-05	233.95115738439603
5.315881918384977e-05	234.68139499102404
5.3330493863439814e-05	235.41391125623215
5.3502722960830406e-05	236.14871328427589
5.3675508266495844e-05	236.8858082015325
5.384885157669267e-05	237.6252031565604
5.4022754693478405e-05	238.36690532017496
5.419721942473022e-05	239.11092188551615
5.43722475841638e-05	239.85726006811873
5.454784099135214e-05	240.60592710597197
5.4724001471744527e-05	241.3569302596099
5.490073085668543e-05	242.11027681216126
5.5078030983433616e-05	242.86597406942846
5.525590369518121e-05	243.6240293599584
5.543435084107286e-05	244.38445003511416
5.561337427622497e-05	245.1472434691404
5.5792975861745e-05	245.9124170592368
5.5973157464750766e-05	246.67997822563464
5.615392095838991e-05	247.4499344116605
5.6335268221859316e-05	248.22229308347545
5.651720114042468e-05	248.99706172741452
5.669972160544013e-05	249.7742478514453
5.688283151436782e-05	250.55385898684636
5.706653277079772e-05	251.33590268828897
5.725082728446739e-05	252.12038653391585
5.743571697128179e-05	252.9073181254072
5.762120375333327e-05	253.69670508805908
5.780728955892151e-05	254.4885550708539
5.799397632257354e-05	255.28287574653527
5.8181265985063914e-05	256.0796748116762
5.836916049343485e-05	256.8789599867592
5.855766180101646e-05	257.68073901625075
5.8746771867447084e-05	258.48501966866814
5.893649265869365e-05	259.2918097366591
5.9126826147072115e-05	260.10111703707776
5.931777431126795e-05	260.912949411058
5.950933913635674e-05	261.7273147240847
5.9701522613824825e-05	262.54422086607485
5.9894326741589934e-05	263.363675751449
6.008775352402207e-05	264.18568731921016
6.028180497196424e-05	265.01026353301694
6.04764831027534e-05	265.8374123812615
6.067178994024148e-05	266.66714187714837
6.08677275148163e-05	267.49946005876507
6.106429786342281e-05	268.33437498916294
6.126150302958418e-05	269.1718947564356
6.14593450634231e-05	270.012027473793
6.165782602168303e-05	270.85478127964444
6.185694796774964e-05	271.7001643376664
6.205671297167221e-05	272.5481848368937
6.225712311018521e-05	273.3988509939208
6.245818046672983e-05	274.25217105947263
6.265988713147569e-05	275.1081533121674
6.286224520134254e-05	275.966806056445
6.306525678002203e-05	276.8281376226623
6.326892397799965e-05	277.69215636716063
6.347324891257663e-05	278.558870672358
6.367823370789194e-05	279.4282889468216
6.388388049494441e-05	280.3004196253562
6.409019141161485e-05	281.17527116908127
6.429716860268827e-05	282.052852065516
6.450481421987623e-05	282.9331708286598
6.471313042183913e-05	283.8162359990781
6.492211937420873e-05	284.7020561439797
6.51317832496106e-05	285.59063985730745
6.534212422768676e-05	286.48199575981187
6.55531444951183e-05	287.3761324991492
6.576484624564813e-05	288.2730587499479
6.597723168010374e-05	289.1727832139056
6.619030300642021e-05	290.075314619871
6.640406243966297e-05	290.9806617239246
6.661851220205103e-05	291.8888333094683
6.683365452297991e-05	292.7998381873069
6.704949163904493e-05	293.7136851957364
6.726602579406441e-05	294.6303832006325
6.748325923910301e-05	295.5499410955271
6.77011942324951e-05	296.47236780170374
6.791983303986834e-05	297.39767226828263
6.813917793416711e-05	298.32586347230136
6.835923119567617e-05	299.2569504188135
6.857999511204444e-05	300.1909421408945
6.880147197830868e-05	301.12784769211464
6.902366409691744e-05	302.0676761396249
6.92465737777549e-05	303.0104365770206
6.9470203338165e-05	303.9561381260449
6.969455510297541e-05	304.9047899366763
6.991963140452179e-05	305.85640118721165
7.014543458267199e-05	306.8109810843536
7.037196698485038e-05	307.76853886330247
7.059923096606228e-05	308.72908378783825
7.08272288889184e-05	309.6926251504088
7.105596312365944e-05	310.6591722722222
7.128543604818072e-05	311.62873450333075
7.151565004805688e-05	312.60132122272205
7.174660751656672e-05	313.57694183840795
7.1978310854718e-05	314.55560578750845
7.221076247127254e-05	315.53732253635195
7.24439647827711e-05	316.5221015805505
7.267792021355864e-05	317.50995244510625
7.291263119580943e-05	318.5008846844847
7.314810016955235e-05	319.4949078827168
7.338432958269634e-05	320.49203165349087
7.362132189105571e-05	321.4922656402315
7.38590795583758e-05	322.495619516201
7.409760505635848e-05	323.5021029845921
7.433690086468796e-05	324.51172577861115
7.457696947105645e-05	325.52449766157923
7.481781337119014e-05	326.5404284270166
7.505943506887504e-05	327.55952789874453
7.530183707598309e-05	328.58180593096847
7.554502191249819e-05	329.60727240837923
7.57889921065425e-05	330.635937246561
7.603375019440265e-05	331.66781039849695
7.627929872055614e-05	332.70290185442246
7.65256402376977e-05	333.74122163585247
7.677277730676603e-05	334.78277979542383
7.702071249697019e-05	335.8275864170028
7.726944838581648e-05	336.87565161576697
7.751898755913513e-05	337.9269855383161
7.776933261110728e-05	338.9815983627564
7.802048614429184e-05	340.03950029881184
7.827245076965263e-05	341.100701587904
7.852522910658548e-05	342.16521250327384
7.877882378294546e-05	343.2330433500586
7.903323743507425e-05	344.3042044653994
7.928847270782749e-05	345.37870621854427
7.954453225460227e-05	346.45655901093886
7.980141873736481e-05	347.5377732763319
8.005913482667798e-05	348.62235948087357
8.031768320172918e-05	349.710328123217
8.05770665503582e-05	350.8016897346149
8.083728756908507e-05	351.89645487902504
8.109834896313813e-05	352.99463415321213
8.136025344648222e-05	354.0962381868408
8.16230037418468e-05	355.2012776425868
8.188660258075432e-05	356.30976321623456
8.21510527035486e-05	357.42170563678314
8.24163568594233e-05	358.5371156665442
8.268251780645046e-05	359.6560041012473
8.294953831160933e-05	360.77838177014627
8.321742115081493e-05	361.9042595361159
8.348616910894708e-05	363.03364829576424
8.375578497987922e-05	364.16655897961164
8.402627156650757e-05	365.30300255276285
8.429763168078018e-05	366.44299001468323
8.456986814372617e-05	367.58653239899985
8.484298378548514e-05	368.73364077360543
8.511698144533649e-05	369.88432624076614
8.539186397172901e-05	371.03859993722887
8.566763422231042e-05	372.1964730343314
8.594429506395718e-05	373.35795673809366
8.62218493728042e-05	374.5230622893474
8.650030003427476e-05	375.6918009638279
8.677964994311054e-05	376.86418407228746
8.70599020034017e-05	378.0402229606041
8.734105912861706e-05	379.21992900988795
8.762312424163438e-05	380.4033136365929
8.790610027477078e-05	381.59038829262636
8.818999016981317e-05	382.78116446545255
8.847479687804893e-05	383.97565367821477
8.876052336029644e-05	385.17386748983404
8.9047172586936e-05	386.3758174951265
8.933474753794066e-05	387.58151532490433
8.962325120290718e-05	388.79097264610994
8.991268658108713e-05	390.00420116189696
9.020305668141804e-05	391.2212126117743
9.049436452255476e-05	392.4420187716866
9.078661313290074e-05	393.6666314541578
9.107980555063961e-05	394.89506250837616
9.137394482376665e-05	396.1273238203315
9.166903401012057e-05	397.36342731291387
9.19650761774153e-05	398.60338494603207
9.226207440327184e-05	399.84720871673187
9.256003177525022e-05	401.094910653989
9.28589513908817e-05	402.3465028052721
9.31588363577009e-05	403.6019972510747
9.345968979327812e-05	404.86140610912724
9.376151482525175e-05	406.1247415345107
9.406431459136077e-05	407.3920157197799
9.436809223947744e-05	408.66324089506554
9.467285092763989e-05	409.9384293281973
9.497859382408512e-05	411.2175933248153
9.528532410728176e-05	412.5007452284817
9.55930449659633e-05	413.7878974208059
9.590175959916105e-05	415.07906232155256
9.621147121623754e-05	416.3742523887595
9.652218303691983e-05	417.6734801188575
9.683389829133295e-05	418.9767580467847
9.714662022003353e-05	420.2840987460978
9.74603520740435e-05	421.5955148291073
9.777509711488381e-05	422.91101894697493
9.809085861460843e-05	424.2306237898455
9.840763985583831e-05	425.554342086968
9.872544413179551e-05	426.88218660679473
